N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
0,0,p0,86,129,0.011999592185020447,1.3812432829290628,1.3932428751140833
0,0,p1,64,129,0.012086432427167892,1.3853226453065872,1.3974090777337551
0,0,p2,108,129,0.011835375800728798,1.3823376018553972,1.394172977656126
0,0,p3,153,129,0.012072240933775902,1.3866331651806831,1.398705406114459
0,0,p4,178,129,0.012011053040623665,1.38843934237957,1.4004503954201937
0,0,p5,209,129,0.012235360220074654,1.389977715909481,1.4022130761295557
0,0,p6,241,129,0.01220405101776123,1.398457109928131,1.4106611609458923
0,0,p7,82,129,0.012043790891766548,1.3812988977879286,1.3933426886796951
0,1,p0,86,129,0.012038102373480797,1.376597112044692,1.3886352144181728
0,1,p1,64,129,0.012472445145249367,1.3793442025780678,1.3918166477233171
0,1,p2,108,129,0.011851899325847626,1.3814733885228634,1.393325287848711
0,1,p3,153,129,0.011944079771637917,1.383314087986946,1.395258167758584
0,1,p4,178,129,0.011966103687882423,1.3919018041342497,1.403867907822132
0,1,p5,209,129,0.01209706999361515,1.3980675898492336,1.4101646598428488
0,1,p6,241,129,0.012228840962052345,1.3968341145664454,1.4090629555284977
0,1,p7,82,129,0.012047076597809792,1.3802544139325619,1.3923014905303717
0,2,p0,86,129,0.01203136146068573,1.3835557736456394,1.3955871351063251
0,2,p1,64,129,0.012689085677266121,1.3946686927229166,1.4073577784001827
0,2,p2,108,129,0.011804819107055664,1.3978965859860182,1.4097014050930738
0,2,p3,153,129,0.011940723285079002,1.3943978138267994,1.4063385371118784
0,2,p4,178,129,0.012322580441832542,1.4001853317022324,1.412507912144065
0,2,p5,209,129,0.012151291593909264,1.426067365333438,1.4382186569273472
0,2,p6,241,129,0.012265896424651146,1.4097777921706438,1.422043688595295
0,2,p7,82,129,0.012009559199213982,1.3919760007411242,1.4039855599403381
4,0,p0,86,129,0.010148493573069572,1.1906602419912815,1.200808735564351
4,0,p1,64,129,0.01019739918410778,1.1875670850276947,1.1977644842118025
4,0,p2,108,129,0.009948741644620895,1.183896379545331,1.193845121189952
4,0,p3,153,129,0.010195603594183922,1.1765907406806946,1.1867863442748785
4,0,p4,178,129,0.010207904502749443,1.181262593716383,1.1914704982191324
4,0,p5,209,129,0.010260224342346191,1.184783136472106,1.1950433608144522
4,0,p6,241,129,0.010402306914329529,1.1952473279088736,1.205649634823203
4,0,p7,82,129,0.010368987917900085,1.1814577858895063,1.1918267738074064
4,1,p0,86,129,0.010280342772603035,1.1894273441284895,1.1997076869010925
4,1,p1,64,129,0.010432783514261246,1.1933858785778284,1.2038186620920897
4,1,p2,108,129,0.010015454143285751,1.1829903852194548,1.1930058393627405
4,1,p3,153,129,0.010199340060353279,1.188742907717824,1.1989422477781773
4,1,p4,178,129,0.01021990180015564,1.1869697570800781,1.1971896588802338
4,1,p5,209,129,0.01034512184560299,1.1947525180876255,1.2050976399332285
4,1,p6,241,129,0.01058550551533699,1.1988781839609146,1.2094636894762516
4,1,p7,82,129,0.010186182335019112,1.190343102440238,1.200529284775257
4,2,p0,86,129,0.010320436209440231,1.1950891502201557,1.205409586429596
4,2,p1,64,129,0.010151678696274757,1.1852202899754047,1.1953719686716795
4,2,p2,108,129,0.010269418358802795,1.2080040406435728,1.2182734590023756
4,2,p3,153,129,0.010243568569421768,1.1931686326861382,1.20341220125556
4,2,p4,178,129,0.010331789031624794,1.2163555175065994,1.2266873065382242
4,2,p5,209,129,0.01035226508975029,1.192068288102746,1.2024205531924963
4,2,p6,241,129,0.01073208637535572,1.2021760810166597,1.2129081673920155
4,2,p7,82,129,0.010321974754333496,1.1844262033700943,1.1947481781244278
8,0,p0,86,129,0.008504226803779602,0.9862620905041695,0.9947663173079491
8,0,p1,64,129,0.00854896754026413,0.9855399709194899,0.994088938459754
8,0,p2,108,129,0.008390845730900764,0.9873738121241331,0.9957646578550339
8,0,p3,153,129,0.008575564250349998,0.98705187253654,0.99562743678689
8,0,p4,178,129,0.008727476000785828,0.9884751811623573,0.9972026571631432
8,0,p5,209,129,0.008627194911241531,0.9870014395564795,0.995628634467721
8,0,p6,241,129,0.008693823590874672,0.9909784458577633,0.999672269448638
8,0,p7,82,129,0.008477894589304924,0.981392415240407,0.9898703098297119
8,1,p0,86,129,0.008524809032678604,0.980364752933383,0.9888895619660616
8,1,p1,64,129,0.008492100983858109,0.9792104344815016,0.9877025354653597
8,1,p2,108,129,0.008275944739580154,0.9761488176882267,0.9844247624278069
8,1,p3,153,129,0.008440801873803139,0.9788743201643229,0.987315122038126
8,1,p4,178,129,0.0085026565939188,0.9815741125494242,0.990076769143343
8,1,p5,209,129,0.00859435647726059,1.0221620555967093,1.0307564120739698
8,1,p6,241,129,0.00864083506166935,1.0056659039109945,1.0143067389726639
8,1,p7,82,129,0.008487991988658905,0.9978402629494667,1.0063282549381256
8,2,p0,86,129,0.008834417909383774,1.020983388647437,1.0298178065568209
8,2,p1,64,129,0.009239587932825089,0.9995177406817675,1.0087573286145926
8,2,p2,108,129,0.008397538214921951,1.0207925345748663,1.0291900727897882
8,2,p3,153,129,0.008824324235320091,0.987471790984273,0.996296115219593
8,2,p4,178,129,0.008540153503417969,1.0035786181688309,1.0121187716722488
8,2,p5,209,129,0.009091846644878387,1.0320199392735958,1.0411117859184742
8,2,p6,241,129,0.008843902498483658,1.0251221731305122,1.033966075628996
8,2,p7,82,129,0.00911729410290718,1.023010529577732,1.0321278236806393
12,0,p0,86,129,0.007128749042749405,0.8214462101459503,0.8285749591886997
12,0,p1,64,129,0.007523246109485626,0.8255755193531513,0.833098765462637
12,0,p2,108,129,0.007494080811738968,0.8209027629345655,0.8283968437463045
