N,run,prompt,prompt_tokens,gen_tokens,prefill_seconds,decode_seconds,busy_seconds
0,0,p0,86,129,0.03592865169048309,3.7256326358765364,3.7615612875670195
0,0,p1,64,129,0.03413458913564682,3.721682980656624,3.7558175697922707
0,0,p2,108,129,0.03692422807216644,3.7266166657209396,3.763540893793106
0,0,p3,153,129,0.0392816998064518,3.731842940673232,3.771124640479684
0,0,p4,178,129,0.04066646471619606,3.73321046680212,3.7738769315183163
0,0,p5,209,129,0.04249710403382778,3.7345440573990345,3.7770411614328623
0,0,p6,241,129,0.04388199746608734,3.735413830727339,3.779295828193426
0,0,p7,82,129,0.03603883646428585,3.726052651181817,3.762091487646103
0,1,p0,86,129,0.03617571480572224,3.728303460404277,3.764479175209999
0,1,p1,64,129,0.0341921579092741,3.7249617148190737,3.759153872728348
0,1,p2,108,129,0.0370828490704298,3.7304470241069794,3.767529873177409
0,1,p3,153,129,0.0390919353812933,3.734924701973796,3.774016637355089
0,1,p4,178,129,0.0407330971211195,3.7369847651571035,3.777717862278223
0,1,p5,209,129,0.042431892827153206,3.7371347341686487,3.779566626995802
0,1,p6,241,129,0.04421582259237766,3.7372843101620674,3.781500132754445
0,1,p7,82,129,0.03620992787182331,3.7307191863656044,3.7669291142374277
0,2,p0,86,129,0.03622997738420963,3.7295789904892445,3.765808967873454
0,2,p1,64,129,0.03423396125435829,3.7282285913825035,3.762462552636862
0,2,p2,108,129,0.037082137539982796,3.7342528719455004,3.771335009485483
0,2,p3,153,129,0.039352891966700554,3.737873451784253,3.7772263437509537
0,2,p4,178,129,0.04075483791530132,3.739518130198121,3.7802729681134224
0,2,p5,209,129,0.04255395941436291,3.7398830968886614,3.7824370563030243
0,2,p6,241,129,0.043980685994029045,3.7402366045862436,3.7842172905802727
0,2,p7,82,129,0.0359978973865509,3.731631577014923,3.767629474401474
6,0,p0,86,129,0.03051038086414337,3.1534303575754166,3.18394073843956
6,0,p1,64,129,0.02865787036716938,3.1521923262625933,3.1808501966297626
6,0,p2,108,129,0.03128073550760746,3.1571080535650253,3.188388789072633
6,0,p3,153,129,0.03345803543925285,3.158087335526943,3.191545370966196
6,0,p4,178,129,0.03434099070727825,3.15925501473248,3.1935960054397583
6,0,p5,209,129,0.03603385202586651,3.159970909357071,3.1960047613829374
6,0,p6,241,129,0.03707663714885712,3.1601658016443253,3.1972424387931824
6,0,p7,82,129,0.030552804470062256,3.1521924901753664,3.1827452946454287
6,1,p0,86,129,0.030690371990203857,3.154163297265768,3.184853669255972
6,1,p1,64,129,0.028912244364619255,3.151894064620137,3.1808063089847565
6,1,p2,108,129,0.03123188205063343,3.1560606732964516,3.187292555347085
6,1,p3,153,129,0.033262861892580986,3.158760145306587,3.192023007199168
6,1,p4,178,129,0.03448072262108326,3.158686086535454,3.193166809156537
6,1,p5,209,129,0.036090876907110214,3.1591902393847704,3.1952811162918806
6,1,p6,241,129,0.037241337820887566,3.15991067327559,3.1971520110964775
6,1,p7,82,129,0.03044891729950905,3.151047294959426,3.181496212258935
6,2,p0,86,129,0.03061896376311779,3.1533282604068518,3.1839472241699696
6,2,p1,64,129,0.028743799775838852,3.1502778213471174,3.1790216211229563
6,2,p2,108,129,0.031262777745723724,3.1559925340116024,3.187255311757326
6,2,p3,153,129,0.033379580825567245,3.157681727781892,3.191061308607459
6,2,p4,178,129,0.034289782866835594,3.1606528628617525,3.194942645728588
6,2,p5,209,129,0.0359491053968668,3.160291537642479,3.1962406430393457
6,2,p6,241,129,0.037277840077877045,3.160743325948715,3.1980211660265923
6,2,p7,82,129,0.03046358749270439,3.153170043602586,3.18363363109529
12,0,p0,86,129,0.02524731121957302,2.6018959935754538,2.627143304795027
12,0,p1,64,129,0.02388133853673935,2.599136259406805,2.6230175979435444
12,0,p2,108,129,0.025757305324077606,2.600694788619876,2.6264520939439535
12,0,p3,153,129,0.027522051706910133,2.6037962716072798,2.63131832331419
12,0,p4,178,129,0.02854570746421814,2.6041869670152664,2.6327326744794846
12,0,p5,209,129,0.029745223000645638,2.603186283260584,2.6329315062612295
12,0,p6,241,129,0.031038759276270866,2.607249950990081,2.6382887102663517
12,0,p7,82,129,0.02515166811645031,2.600551061332226,2.625702729448676
12,1,p0,86,129,0.02518887259066105,2.59980377741158,2.624992650002241
12,1,p1,64,129,0.02363414317369461,2.5991735011339188,2.6228076443076134
12,1,p2,108,129,0.025866519659757614,2.6024672463536263,2.628333766013384
12,1,p3,153,129,0.027832653373479843,2.6049463767558336,2.6327790301293135
12,1,p4,178,129,0.028546631336212158,2.6057255566120148,2.634272187948227
12,1,p5,209,129,0.029792966321110725,2.6065706312656403,2.636363597586751
12,1,p6,241,129,0.03118063509464264,2.606181029230356,2.637361664324999
12,1,p7,82,129,0.025011466816067696,2.600412903353572,2.6254243701696396
12,2,p0,86,129,0.025090085342526436,2.6013870630413294,2.626477148383856
12,2,p1,64,129,0.023728305473923683,2.5991709250956774,2.622899230569601
12,2,p2,108,129,0.025749681517481804,2.601417163386941,2.6271668449044228
12,2,p3,153,129,0.027497535571455956,2.602359440177679,2.629856975749135
12,2,p4,178,129,0.028667744249105453,2.6046273093670607,2.633295053616166
12,2,p5,209,129,0.02980118803679943,2.60428624227643,2.6340874303132296
12,2,p6,241,129,0.03081042319536209,2.607630383223295,2.6384408064186573
12,2,p7,82,129,0.02509750798344612,2.6001370791345835,2.6252345871180296
18,0,p0,86,129,0.019820908084511757,2.0472465865314007,2.0670674946159124
18,0,p1,64,129,0.01868838630616665,2.0451855584979057,2.0638739448040724
18,0,p2,108,129,0.020250657573342323,2.0482130870223045,2.068463744595647
18,0,p3,153,129,0.021821433678269386,2.0500808097422123,2.0719022434204817
18,0,p4,178,129,0.022446349263191223,2.0490635856986046,2.071509934961796
18,0,p5,209,129,0.023828348144888878,2.0514226350933313,2.07525098323822
18,0,p6,241,129,0.024011783301830292,2.0508879758417606,2.074899759143591
18,0,p7,82,129,0.019713936373591423,2.047463223338127,2.0671771597117186
18,1,p0,86,129,0.019775239750742912,2.048272555693984,2.068047795444727
18,1,p1,64,129,0.01864965632557869,2.0462453812360764,2.064895037561655
18,1,p2,108,129,0.020216695964336395,2.048133809119463,2.0683505050837994
18,1,p3,153,129,0.021764349192380905,2.049921354278922,2.071685703471303
18,1,p4,178,129,0.022666988894343376,2.0493170395493507,2.071984028443694
18,1,p5,209,129,0.023613443598151207,2.0499290600419044,2.0735425036400557
18,1,p6,241,129,0.0243357066065073,2.0509300902485847,2.075265796855092
18,1,p7,82,129,0.01971529982984066,2.0465052481740713,2.066220548003912
18,2,p0,86,129,0.01976386271417141,2.047592958435416,2.0673568211495876
18,2,p1,64,129,0.018647104501724243,2.0464335344731808,2.065080638974905
18,2,p2,108,129,0.020263807848095894,2.0511621460318565,2.0714259538799524
18,2,p3,153,129,0.02165892720222473,2.0507983528077602,2.072457280009985
18,2,p4,178,129,0.022695602849125862,2.05019505135715,2.072890654206276
18,2,p5,209,129,0.02370181493461132,2.048851367086172,2.0725531820207834
18,2,p6,241,129,0.024249525740742683,2.0505355820059776,2.0747851077467203
18,2,p7,82,129,0.01968824863433838,2.0461506322026253,2.0658388808369637
24,0,p0,86,129,0.014424899592995644,1.4944284353405237,1.5088533349335194
24,0,p1,64,129,0.013708345592021942,1.4941738713532686,1.5078822169452906
24,0,p2,108,129,0.014758475124835968,1.4955331422388554,1.5102916173636913
24,0,p3,153,129,0.015752919018268585,1.4966071173548698,1.5123600363731384
24,0,p4,178,129,0.016367938369512558,1.4951941017061472,1.5115620400756598
24,0,p5,209,129,0.017180144786834717,1.494989961385727,1.5121701061725616
24,0,p6,241,129,0.01759674958884716,1.4954773094505072,1.5130740590393543
24,0,p7,82,129,0.014294162392616272,1.4933211971074343,1.5076153595000505
24,1,p0,86,129,0.014416128396987915,1.4936032835394144,1.5080194119364023
24,1,p1,64,129,0.0136776864528656,1.4930222518742085,1.506699938327074
24,1,p2,108,129,0.014753758907318115,1.49475983902812,1.5095135979354382
24,1,p3,153,129,0.015784887596964836,1.4954980332404375,1.5112829208374023
24,1,p4,178,129,0.016279663890600204,1.4968874640762806,1.5131671279668808
24,1,p5,209,129,0.016972191631793976,1.4966465327888727,1.5136187244206667
24,1,p6,241,129,0.017585890367627144,1.4978073704987764,1.5153932608664036
24,1,p7,82,129,0.014271998777985573,1.4945564288645983,1.5088284276425838
24,2,p0,86,129,0.014361964538693428,1.495281407609582,1.5096433721482754
24,2,p1,64,129,0.01366640254855156,1.495049636811018,1.5087160393595695
24,2,p2,108,129,0.01476508378982544,1.4957579895853996,1.510523073375225
24,2,p3,153,129,0.015819529071450233,1.4990778919309378,1.514897421002388
24,2,p4,178,129,0.0163881778717041,1.4971627611666918,1.5135509390383959
24,2,p5,209,129,0.01712474413216114,1.495613880455494,1.512738624587655
24,2,p6,241,129,0.01774979755282402,1.4959694035351276,1.5137192010879517
24,2,p7,82,129,0.014325860887765884,1.4929225742816925,1.5072484351694584
30,0,p0,86,129,0.008915159851312637,0.9394339323043823,0.948349092155695
30,0,p1,64,129,0.008522216230630875,0.9391803964972496,0.9477026127278805
30,0,p2,108,129,0.009093055501580238,0.9418248943984509,0.9509179499000311
30,0,p3,153,129,0.009703060612082481,0.9421902671456337,0.9518933277577162
30,0,p4,178,129,0.010187152773141861,0.9424712937325239,0.9526584465056658
30,0,p5,209,129,0.01044226810336113,0.9429984986782074,0.9534407667815685
30,0,p6,241,129,0.010652275756001472,0.9436832182109356,0.9543354939669371
30,0,p7,82,129,0.008916402235627174,0.9424820430576801,0.9513984452933073
30,1,p0,86,129,0.008980156853795052,0.941519770771265,0.9504999276250601
30,1,p1,64,129,0.00855262205004692,0.9407585319131613,0.9493111539632082
30,1,p2,108,129,0.009151427075266838,0.9416505564004183,0.9508019834756851
30,1,p3,153,129,0.009770331904292107,0.9414020590484142,0.9511723909527063
30,1,p4,178,129,0.010142683982849121,0.9421347342431545,0.9522774182260036
30,1,p5,209,129,0.010448947548866272,0.9411513563245535,0.9516003038734198
30,1,p6,241,129,0.010718686506152153,0.941457474604249,0.9521761611104012
30,1,p7,82,129,0.008933257311582565,0.9425495378673077,0.9514827951788902
30,2,p0,86,129,0.00896301120519638,0.9401178546249866,0.949080865830183
30,2,p1,64,129,0.008508926257491112,0.939873993396759,0.9483829196542501
30,2,p2,108,129,0.009126409888267517,0.9404285009950399,0.9495549108833075
30,2,p3,153,129,0.009713716804981232,0.9406328275799751,0.9503465443849564
